# %ECSV 0.9
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_y, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# meta: !!omap
# - comment: [vej = 0.25999999999999995, mej = 0.023201562933498177, Ye = 0.45, redshift = 0.0]
# schema: astropy-2.0
time sdss_u sdss_g sdss_r sdss_i sdss_z PS1_y ukirt_J ukirt_H ukirt_K johnson_U johnson_B johnson_V johnson_R johnson_I
3.100000 -4.680887 -8.681844 -11.026540 -12.392707 -13.154950 -13.594426 -14.361373 -14.832658 -14.961768 -5.174190 -7.595790 -10.066220 -11.297018 -13.227864
3.150000 -4.537774 -8.575479 -10.943503 -12.324558 -13.095908 -13.541087 -14.319542 -14.800872 -14.936338 -5.035478 -7.479170 -9.973381 -11.216825 -13.169741
3.200000 -4.271966 -8.387103 -10.804284 -12.216713 -13.007258 -13.464455 -14.267180 -14.769711 -14.918603 -4.778942 -7.269187 -9.813507 -11.083600 -13.083025
3.250000 -4.004820 -8.197597 -10.664070 -12.107959 -12.917756 -13.387009 -14.214093 -14.737926 -14.900324 -4.521094 -7.058016 -9.652580 -10.949395 -12.995463
3.300000 -3.736387 -8.007005 -10.522895 -11.998327 -12.827430 -13.308776 -14.160304 -14.705537 -14.881518 -4.261982 -6.845701 -9.490640 -10.814245 -12.907083
3.350000 -3.466717 -7.815365 -10.380795 -11.887851 -12.736310 -13.229783 -14.105836 -14.672562 -14.862202 -4.001656 -6.632287 -9.327724 -10.678185 -12.817914
3.400000 -3.195858 -7.622720 -10.237804 -11.776559 -12.644423 -13.150056 -14.050711 -14.639020 -14.842392 -3.740164 -6.417816 -9.163868 -10.541249 -12.727984
3.450000 -2.923859 -7.429106 -10.093957 -11.664482 -12.551798 -13.069622 -13.994951 -14.604928 -14.822103 -3.477551 -6.202328 -8.999108 -10.403470 -12.637320
3.500000 -2.650765 -7.234563 -9.949284 -11.551648 -12.458459 -12.988504 -13.938578 -14.570304 -14.801349 -3.213864 -5.985865 -8.833480 -10.264878 -12.545948
3.550000 -2.376622 -7.039127 -9.803819 -11.438086 -12.364434 -12.906727 -13.881611 -14.535164 -14.780144 -2.949146 -5.768466 -8.667016 -10.125506 -12.453894
3.600000 -2.101475 -6.842836 -9.657592 -11.323824 -12.269748 -12.824315 -13.824070 -14.499524 -14.758503 -2.683442 -5.550169 -8.499751 -9.985383 -12.361181
3.650000 -1.825367 -6.645722 -9.510632 -11.208886 -12.174423 -12.741290 -13.765975 -14.463400 -14.736439 -2.416793 -5.331012 -8.331716 -9.844539 -12.267836
3.700000 -1.548339 -6.447822 -9.362969 -11.093301 -12.078485 -12.657674 -13.707344 -14.426808 -14.713964 -2.149242 -5.111031 -8.162943 -9.703003 -12.173880
3.750000 -1.270434 -6.249169 -9.214632 -10.977091 -11.981957 -12.573489 -13.648195 -14.389761 -14.691091 -1.880827 -4.890262 -7.993462 -9.560801 -12.079336
3.800000 -0.991691 -6.049794 -9.065648 -10.860283 -11.884859 -12.488757 -13.588547 -14.352275 -14.667832 -1.611589 -4.668739 -7.823303 -9.417962 -11.984228
3.850000 -0.712150 -5.849729 -8.916044 -10.742900 -11.787215 -12.403496 -13.528417 -14.314363 -14.644198 -1.341564 -4.446496 -7.652494 -9.274511 -11.888575
3.900000 -0.431847 -5.649006 -8.765845 -10.624964 -11.689045 -12.317728 -13.467821 -14.276038 -14.620201 -1.070792 -4.223566 -7.481064 -9.130473 -11.792400
3.950000 -0.150821 -5.447653 -8.615077 -10.506497 -11.590370 -12.231470 -13.406775 -14.237315 -14.595852 -0.799306 -3.999980 -7.309040 -8.985874 -11.695721
4.000000 0.130893 -5.245700 -8.463765 -10.387523 -11.491209 -12.144742 -13.345295 -14.198204 -14.571161 -0.527143 -3.775769 -7.136447 -8.840737 -11.598560
4.050000 0.413261 -5.043175 -8.311932 -10.268061 -11.391582 -12.057562 -13.283397 -14.158719 -14.546138 -0.254337 -3.550963 -6.963312 -8.695086 -11.500934
4.100000 0.696249 -4.840105 -8.159601 -10.148131 -11.291506 -11.969947 -13.221095 -14.118872 -14.520793 0.019081 -3.325592 -6.789660 -8.548942 -11.402862
4.150000 0.979823 -4.636516 -8.006795 -10.027754 -11.191001 -11.881914 -13.158403 -14.078675 -14.495137 0.293076 -3.099683 -6.615514 -8.402329 -11.304362
4.200000 1.263952 -4.432434 -7.853536 -9.906949 -11.090084 -11.793479 -13.095336 -14.038137 -14.469177 0.567620 -2.873263 -6.440897 -8.255267 -11.205452
4.250000 1.548605 -4.227883 -7.699843 -9.785734 -10.988771 -11.704658 -13.031907 -13.997271 -14.442924 0.842681 -2.646359 -6.265833 -8.107776 -11.106148
4.300000 1.833753 -4.022889 -7.545738 -9.664127 -10.887079 -11.615467 -12.968129 -13.956087 -14.416385 1.118230 -2.418998 -6.090343 -7.959876 -11.006466
4.350000 2.119366 -3.817473 -7.391240 -9.542145 -10.785024 -11.525921 -12.904015 -13.914595 -14.389569 1.394239 -2.191203 -5.914448 -7.811588 -10.906422
4.400000 2.405416 -3.611658 -7.236368 -9.419805 -10.682621 -11.436033 -12.839577 -13.872805 -14.362485 1.670681 -1.962998 -5.738169 -7.662928 -10.806031
4.450000 2.691877 -3.405467 -7.081140 -9.297123 -10.579885 -11.345818 -12.774827 -13.830728 -14.335140 1.947530 -1.734407 -5.561526 -7.513915 -10.705308
4.500000 2.978722 -3.198920 -6.925575 -9.174115 -10.476830 -11.255290 -12.709777 -13.788371 -14.307542 2.224759 -1.505453 -5.384537 -7.364567 -10.604267
4.550000 3.265926 -2.992038 -6.769689 -9.050796 -10.373470 -11.164461 -12.644437 -13.745744 -14.279698 2.502344 -1.276156 -5.207221 -7.214900 -10.502922
4.600000 3.553464 -2.784840 -6.613499 -8.927181 -10.269819 -11.073344 -12.578819 -13.702857 -14.251616 2.780262 -1.046539 -5.029597 -7.064931 -10.401286
4.650000 3.841313 -2.577345 -6.457022 -8.803283 -10.165890 -10.981951 -12.512933 -13.659717 -14.223303 3.058488 -0.816620 -4.851680 -6.914674 -10.299372
4.700000 4.129450 -2.369571 -6.300272 -8.679117 -10.061695 -10.890294 -12.446789 -13.616333 -14.194765 3.337002 -0.586421 -4.673489 -6.764146 -10.197193
4.750000 4.417853 -2.161537 -6.143264 -8.554696 -9.957246 -10.798385 -12.380397 -13.572712 -14.166009 3.615781 -0.355959 -4.495039 -6.613361 -10.094760
4.800000 4.706501 -1.953259 -5.986013 -8.430033 -9.852554 -10.706234 -12.313766 -13.528863 -14.137041 3.894804 -0.125254 -4.316345 -6.462333 -9.992084
4.850000 4.995373 -1.744753 -5.828534 -8.305139 -9.747632 -10.613852 -12.246906 -13.484794 -14.107867 4.174053 0.105678 -4.137424 -6.311076 -9.889178
4.900000 5.284450 -1.536037 -5.670838 -8.180026 -9.642490 -10.521250 -12.179825 -13.440510 -14.078494 4.453506 0.336820 -3.958288 -6.159602 -9.786052
4.950000 5.573713 -1.327124 -5.512940 -8.054707 -9.537139 -10.428436 -12.112532 -13.396020 -14.048927 4.733147 0.568155 -3.778952 -6.007925 -9.682716
5.000000 5.863143 -1.118029 -5.354851 -7.929192 -9.431588 -10.335422 -12.045036 -13.351330 -14.019172 5.012957 0.799668 -3.599430 -5.856057 -9.579181
5.050000 6.152723 -0.908768 -5.196585 -7.803491 -9.325848 -10.242215 -11.977343 -13.306447 -13.989234 5.292919 1.031342 -3.419734 -5.704009 -9.475456
5.100000 6.442436 -0.699353 -5.038151 -7.677616 -9.219928 -10.148825 -11.909463 -13.261377 -13.959119 5.573016 1.263165 -3.239877 -5.551792 -9.371550
5.150000 6.732266 -0.489797 -4.879562 -7.551575 -9.113837 -10.055261 -11.841403 -13.216127 -13.928831 5.853233 1.495121 -3.059871 -5.399419 -9.267473
5.200000 7.022196 -0.280114 -4.720829 -7.425379 -9.007584 -9.961531 -11.773169 -13.170702 -13.898376 6.133554 1.727198 -2.879727 -5.246898 -9.163233
5.250000 7.312213 -0.070315 -4.561961 -7.299036 -8.901177 -9.867643 -11.704769 -13.125109 -13.867758 6.413964 1.959382 -2.699457 -5.094241 -9.058838
5.300000 7.602301 0.139587 -4.402968 -7.172556 -8.794625 -9.773604 -11.636209 -13.079352 -13.836982 6.694450 2.191661 -2.519071 -4.941457 -8.954297
5.350000 7.892447 0.349583 -4.243861 -7.045947 -8.687934 -9.679422 -11.567496 -13.033437 -13.806053 6.974998 2.424022 -2.338579 -4.788555 -8.849618
5.400000 8.182637 0.559660 -4.084648 -6.919217 -8.581114 -9.585104 -11.498636 -12.987370 -13.774975 7.255594 2.656456 -2.157992 -4.635545 -8.744807
5.450000 8.472858 0.769809 -3.925338 -6.792374 -8.474171 -9.490657 -11.429636 -12.941156 -13.743752 7.536227 2.888949 -1.977318 -4.482435 -8.639873
5.500000 8.763099 0.980019 -3.765940 -6.665425 -8.367112 -9.396088 -11.360501 -12.894799 -13.712388 7.816884 3.121492 -1.796568 -4.329233 -8.534822
5.550000 9.053348 1.190281 -3.606462 -6.538379 -8.259944 -9.301402 -11.291237 -12.848305 -13.680887 8.097554 3.354075 -1.615749 -4.175947 -8.429660
5.600000 9.343593 1.400587 -3.446911 -6.411241 -8.152673 -9.206607 -11.221848 -12.801678 -13.649253 8.378227 3.586688 -1.434870 -4.022586 -8.324395
5.650000 9.633824 1.610926 -3.287296 -6.284019 -8.045306 -9.111709 -11.152342 -12.754922 -13.617490 8.658890 3.819321 -1.253939 -3.869156 -8.219032
5.700000 9.924030 1.821291 -3.127623 -6.156719 -7.937848 -9.016712 -11.082721 -12.708042 -13.585602 8.939535 4.051966 -1.072964 -3.715665 -8.113578
5.750000 10.214202 2.031673 -2.967899 -6.029347 -7.830306 -8.921622 -11.012992 -12.661042 -13.553591 9.220152 4.284614 -0.891953 -3.562119 -8.008037
5.800000 10.504330 2.242065 -2.808132 -5.901910 -7.722685 -8.826445 -10.943160 -12.613926 -13.521462 9.500732 4.517257 -0.710912 -3.408525 -7.902416
5.850000 10.794405 2.452460 -2.648326 -5.774412 -7.614990 -8.731186 -10.873228 -12.566698 -13.489217 9.781265 4.749887 -0.529848 -3.254889 -7.796721
5.900000 11.084418 2.662850 -2.488490 -5.646860 -7.507226 -8.635849 -10.803201 -12.519361 -13.456860 10.061744 4.982497 -0.348767 -3.101218 -7.690955
5.950000 11.374362 2.873229 -2.328628 -5.519259 -7.399399 -8.540439 -10.733083 -12.471920 -13.424394 10.342160 5.215078 -0.167677 -2.947516 -7.585124
6.000000 11.664229 3.083590 -2.168746 -5.391614 -7.291513 -8.444962 -10.662878 -12.424377 -13.391822 10.622506 5.447626 0.013417 -2.793789 -7.479232
6.050000 11.954011 3.293927 -2.008849 -5.263930 -7.183573 -8.349420 -10.592591 -12.376737 -13.359147 10.902774 5.680132 0.194510 -2.640044 -7.373285
6.100000 12.243701 3.504234 -1.848943 -5.136211 -7.075583 -8.253819 -10.522224 -12.329002 -13.326372 11.182958 5.912591 0.375596 -2.486284 -7.267286
6.150000 12.533292 3.714505 -1.689032 -5.008461 -6.967546 -8.158163 -10.451783 -12.281176 -13.293499 11.463050 6.144997 0.556669 -2.332515 -7.161240
6.200000 12.822778 3.924736 -1.529122 -4.880686 -6.859469 -8.062454 -10.381269 -12.233262 -13.260531 11.743045 6.377345 0.737725 -2.178740 -7.055151
6.250000 13.112153 4.134920 -1.369216 -4.752890 -6.751353 -7.966698 -10.310687 -12.185263 -13.227470 12.022937 6.609628 0.918759 -2.024966 -6.949022
6.300000 13.401411 4.345053 -1.209319 -4.625075 -6.643203 -7.870897 -10.240039 -12.137181 -13.194320 12.302720 6.841841 1.099767 -1.871195 -6.842857
6.350000 13.690546 4.555131 -1.049435 -4.497246 -6.535022 -7.775054 -10.169330 -12.089020 -13.161082 12.582388 7.073980 1.280743 -1.717433 -6.736659
6.400000 13.979554 4.765149 -0.889569 -4.369407 -6.426814 -7.679174 -10.098561 -12.040781 -13.127759 12.861937 7.306041 1.461684 -1.563682 -6.630433
6.450000 14.268429 4.975103 -0.729723 -4.241561 -6.318582 -7.583260 -10.027736 -11.992469 -13.094352 13.141361 7.538018 1.642587 -1.409946 -6.524181
6.500000 14.557167 5.184988 -0.569901 -4.113712 -6.210329 -7.487313 -9.956858 -11.944085 -13.060866 13.420656 7.769907 1.823446 -1.256230 -6.417906
6.550000 14.845763 5.394802 -0.410107 -3.985861 -6.102058 -7.391338 -9.885929 -11.895631 -13.027300 13.699818 8.001706 2.004260 -1.102536 -6.311612
6.600000 15.134213 5.604540 -0.250344 -3.858014 -5.993772 -7.295337 -9.814951 -11.847111 -12.993658 13.978842 8.233408 2.185023 -0.948867 -6.205301
6.650000 15.422513 5.814198 -0.090616 -3.730171 -5.885474 -7.199313 -9.743928 -11.798525 -12.959942 14.257724 8.465012 2.365733 -0.795227 -6.098976
6.700000 15.710659 6.023775 0.069076 -3.602337 -5.777167 -7.103268 -9.672862 -11.749877 -12.926153 14.536462 8.696514 2.546388 -0.641618 -5.992640
6.750000 15.998648 6.233266 0.228728 -3.474513 -5.668852 -7.007204 -9.601754 -11.701169 -12.892293 14.815051 8.927910 2.726983 -0.488044 -5.886294
6.800000 16.286477 6.442669 0.388338 -3.346703 -5.560532 -6.911125 -9.530608 -11.652402 -12.858364 15.093488 9.159198 2.907517 -0.334507 -5.779942
6.850000 16.574142 6.651981 0.547902 -3.218908 -5.452210 -6.815032 -9.459425 -11.603578 -12.824369 15.371770 9.390375 3.087987 -0.181009 -5.673586
6.900000 16.861641 6.861199 0.707420 -3.091131 -5.343888 -6.718927 -9.388208 -11.554701 -12.790307 15.649895 9.621438 3.268389 -0.027552 -5.567228
